"id";"name";"education";"group_name";"department";"monthly_salary"
1;"t1";"assistantProf";"group28";"dep76";347
2;"t2";"associateProf";"group3";"dep77";789
3;"t3";"prof";"group44";"dep98";530
4;"t4";"associateProf";"group9";"dep25";134
5;"t5";"associateProf";"group28";"dep97";188
6;"t6";"associateProf";"group22";"dep46";246
7;"t7";"prof";"group26";"dep8";498
8;"t8";"prof";"group18";"dep86";236
9;"t9";"associateProf";"group24";"dep92";542
10;"t10";"prof";"group48";"dep19";233
11;"t11";"prof";"group14";"dep38";495
12;"t12";"prof";"group10";"dep89";665
13;"t13";"associateProf";"group34";"dep2";394
14;"t14";"assistantProf";"group48";"dep61";263
15;"t15";"assistantProf";"group30";"dep13";714
16;"t16";"associateProf";"group20";"dep28";261
17;"t17";"assistantProf";"group0";"dep63";49
18;"t18";"assistantProf";"group46";"dep73";620
19;"t19";"associateProf";"group43";"dep18";449
20;"t20";"assistantProf";"group5";"dep55";106
21;"t21";"prof";"group15";"dep59";888
22;"t22";"assistantProf";"group28";"dep7";963
23;"t23";"assistantProf";"group30";"dep70";264
24;"t24";"assistantProf";"group49";"dep82";599
25;"t25";"associateProf";"group27";"dep5";571
26;"t26";"associateProf";"group46";"dep29";430
27;"t27";"prof";"group24";"dep75";968
28;"t28";"prof";"group6";"dep51";224
29;"t29";"assistantProf";"group15";"dep50";806
30;"t30";"prof";"group37";"dep45";381
31;"t31";"prof";"group40";"dep78";418
32;"t32";"assistantProf";"group15";"dep42";147
33;"t33";"associateProf";"group6";"dep56";800
34;"t34";"prof";"group0";"dep3";297
35;"t35";"prof";"group48";"dep43";524
36;"t36";"associateProf";"group21";"dep34";747
37;"t37";"associateProf";"group29";"dep17";535
38;"t38";"associateProf";"group37";"dep32";726
39;"t39";"associateProf";"group15";"dep64";930
40;"t40";"assistantProf";"group7";"dep100";804
41;"t41";"prof";"group44";"dep39";272
42;"t42";"prof";"group40";"dep23";946
43;"t43";"assistantProf";"group45";"dep90";416
44;"t44";"assistantProf";"group13";"dep12";279
45;"t45";"associateProf";"group17";"dep48";103
46;"t46";"associateProf";"group39";"dep30";967
47;"t47";"prof";"group7";"dep9";889
48;"t48";"associateProf";"group18";"dep11";95
49;"t49";"prof";"group4";"dep54";769
50;"t50";"associateProf";"group6";"dep99";23
51;"t51";"associateProf";"group17";"dep4";254
52;"t52";"associateProf";"group36";"dep87";125
53;"t53";"prof";"group14";"dep6";630
54;"t54";"assistantProf";"group47";"dep24";174
55;"t55";"assistantProf";"group5";"dep20";490
56;"t56";"assistantProf";"group47";"dep52";349
57;"t57";"associateProf";"group22";"dep72";585
58;"t58";"assistantProf";"group16";"dep71";796
59;"t59";"prof";"group23";"dep91";230
60;"t60";"associateProf";"group38";"dep41";390
61;"t61";"prof";"group29";"dep60";41
62;"t62";"associateProf";"group37";"dep40";718
63;"t63";"associateProf";"group27";"dep16";888
64;"t64";"assistantProf";"group8";"dep57";879
65;"t65";"assistantProf";"group33";"dep96";689
66;"t66";"associateProf";"group14";"dep15";31
67;"t67";"prof";"group43";"dep58";547
68;"t68";"prof";"group8";"dep95";598
69;"t69";"assistantProf";"group12";"dep49";208
70;"t70";"assistantProf";"group30";"dep36";460
71;"t71";"assistantProf";"group46";"dep80";238
72;"t72";"assistantProf";"group27";"dep85";540
73;"t73";"prof";"group46";"dep79";489
74;"t74";"assistantProf";"group30";"dep27";777
75;"t75";"assistantProf";"group34";"dep65";32
76;"t76";"assistantProf";"group23";"dep62";781
77;"t77";"prof";"group28";"dep81";483
78;"t78";"associateProf";"group30";"dep1";789
79;"t79";"prof";"group22";"dep22";348
80;"t80";"associateProf";"group42";"dep26";321
81;"t81";"prof";"group9";"dep35";175
82;"t82";"assistantProf";"group40";"dep84";403
83;"t83";"prof";"group15";"dep67";675
84;"t84";"assistantProf";"group13";"dep37";418
85;"t85";"associateProf";"group0";"dep69";733
86;"t86";"prof";"group40";"dep66";749
87;"t87";"assistantProf";"group45";"dep47";618
88;"t88";"assistantProf";"group45";"dep10";173
89;"t89";"assistantProf";"group6";"dep93";749
90;"t90";"prof";"group44";"dep83";161
91;"t91";"prof";"group21";"dep21";248
92;"t92";"associateProf";"group33";"dep31";89
93;"t93";"associateProf";"group23";"dep44";895
94;"t94";"assistantProf";"group15";"dep94";724
95;"t95";"assistantProf";"group15";"dep14";966
96;"t96";"assistantProf";"group25";"dep33";164
97;"t97";"associateProf";"group13";"dep74";366
98;"t98";"prof";"group31";"dep68";484
99;"t99";"associateProf";"group37";"dep53";530
100;"t100";"assistantProf";"group33";"dep88";437
